Name_System;City_Pop_Group;Countries_Group;System_Type;Operator_Type;SponsorSector_Group;Transit_Integration;Fee
Asu Viva;500k-1000k;Others;Dock Based;Public;Other;Yes;No
BAEcobici;Over 1000k;Argentina;Dock Based;Private;Financial;Yes;No
Bbike;100k-250k;Brazil;Dock Based;Public;Government;Yes;Yes
Bici Las condes;Over 1000k;Others;Dock Based;Private;Government;No;Yes
Bicicleta Integrada;Over 1000k;Brazil;Dock Based;Private;Other;Yes;No
Bicicletar;Over 1000k;Brazil;Dock Based;Private;Health;Yes;Yes
Bicicletar Cooporativo;Over 1000k;Brazil;Dock Based;Private;Government;Yes;Yes
Bicicletas publicas de Cajicá;Up to 100k;Colombia;Dock Based;Public;Government;Yes;No
Bicicletas Públicas de Chiá;100k-250k;Colombia;Dock Based;Public;Government;Yes;No
Bicicletas Públicas de Ibagué;500k-1000k;Colombia;Dock Based;Public;Government;No;No
Bicicletas Publicas de Quimbaya;Up to 100k;Colombia;Dock Based;Public;Government;Yes;No
Bicicletas publicas de Zipaquirá;100k-250k;Colombia;Dock Based;Public;Government;Yes;No
BiciCo;Over 1000k;Colombia;Dock Based;Private;Other;No;Yes
BiciCuenca;500k-1000k;Others;Dock Based;Private;Government;No;Yes
BiciEstación;Over 1000k;Colombia;Dock Based;Private;Other;Yes;No
BiciPlaya;100k-250k;Mexico;Dock Based;Private;Government;No;Yes
BiciQuito;Over 1000k;Others;Dock Based;Public;Government;No;No
Bici-Río;100k-250k;Colombia;Dock Based;Private;Government;Yes;No
Bicis RGL;Up to 100k;Argentina;Dock Based;Public;Government;Yes;No
Biciudad;100k-250k;Argentina;Dock Based;Public;Government;Yes;No
Bike Belém;Over 1000k;Brazil;Dock Based;Private;Health;No;Yes
Bike BH;Over 1000k;Brazil;Dock Based;Private;Health;No;Yes
Bike PE;Over 1000k;Brazil;Dock Based;Private;Financial;No;Yes
Bike POA;Over 1000k;Brazil;Dock Based;Private;Financial;No;Yes
Bike Rio;Over 1000k;Brazil;Dock Based;Private;Financial;No;Yes
Bike Salvador;Over 1000k;Brazil;Dock Based;Private;Financial;Yes;Yes
Bike Sampa;Over 1000k;Brazil;Dock Based;Private;Financial;Yes;Yes
Bike Santos;250k-500k;Brazil;Dock Based;Private;Health;Yes;Yes
Bike Serra;250k-500k;Brazil;Dock Based;Private;Financial;No;Yes
Bike Vitória;250k-500k;Brazil;Dock Based;Private;Other;No;Yes
BikePel;250k-500k;Brazil;Dock Based;Private;Health;No;Yes
BikeSantiago;Over 1000k;Others;Dock Based;Private;Financial;No;Yes
BikeVV;250k-500k;Brazil;Dock Based;Private;Other;No;Yes
Bisinu;250k-500k;Colombia;Dock Based;Private;Government;Yes;No
Caracas Rueda Libre;Over 1000k;Others;Dock Based;Public;Government;Yes;No
Ciclo Sampa;Over 1000k;Brazil;Dock Based;Private;Financial;No;No
City Bike Lima;Over 1000k;Others;Dock Based;Private;Government;Yes;Yes
EcoBici CDMX;Over 1000k;Mexico;Dock Based;Private;Government;Yes;Yes
Ecobike;100k-250k;Brazil;Dock Based;Public;Other;Yes;No
En La Bici;Over 1000k;Argentina;Dock Based;Public;Government;Yes;No
EnCicla;Over 1000k;Colombia;Dock Based;Private;Government;Yes;No
GynDeBike;Over 1000k;Brazil;Dock Based;Private;Health;No;Yes
GynDeBike Kids;Over 1000k;Brazil;Dock Based;Private;Health;No;Yes
Habici;Over 1000k;Others;Dock Based;Public;Government;No;Yes
Huizi;500k-1000k;Mexico;Dock Based;Public;Government;No;Yes
IntegraBike;500k-1000k;Brazil;Dock Based;Private;Government;Yes;No
Las Bicis;100k-250k;Argentina;Dock Based;Private;Government;No;Yes
Mais Bike;Over 1000k;Brazil;Dock Based;Private;Financial;No;Yes
Mais Bike Kids;Over 1000k;Brazil;Dock Based;Private;Financial;No;Yes
Manizales en Bici;250k-500k;Colombia;Dock Based;Private;Government;Yes;No
Megabici;250k-500k;Colombia;Dock Based;Private;Government;Yes;No
Metrobici;500k-1000k;Colombia;Dock Based;Private;Government;Yes;No
Mi Bici;Over 1000k;Mexico;Dock Based;Private;Government;Yes;Yes
Mi Bici Tu Bici;Over 1000k;Argentina;Dock Based;Public;Government;Yes;Yes
Mini Bicicletar;Over 1000k;Brazil;Dock Based;Private;Health;Yes;Yes
Pachuca en Bici;250k-500k;Mexico;Dock Based;Public;Government;No;Yes
Passo Fundo Vai de Bici;100k-250k;Brazil;Dock Based;Private;Government;Yes;No
Programa Bicicletas Públicas;250k-500k;Colombia;Dock Based;Private;Other;Yes;No
Programa de Bicicletas Públicas;250k-500k;Colombia;Dock Based;Public;Government;Yes;No
QroBici;500k-1000k;Mexico;Dock Based;Private;Government;Yes;Yes
RiviBike;Up to 100k;Brazil;Dock based;Private;Other;Yes;No
Salvador vai de bike (Azulzinhas);Over 1000k;Brazil;Dock Based;Private;Financial;No;Yes
SiBici;500k-1000k;Argentina;Dock Based;Public;Government;Yes;No
Unimed Bike-JF;500k-1000k;Brazil;Dock Based;Private;Health;No;No
Urban Bici;Over 1000k;Mexico;Dock Based;Private;Other;No;Yes
Valledupar Avanza en Bici;250k-500k;Colombia;Dock Based;Public;Government;Yes;No
VillaBici;250k-500k;Colombia;Dock Based;Public;Government;Yes;No
